Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,39,13,27,9,25,9,8,11,6,2,12,2,8,2,3,5,17,31,9,16
01:00,17,13,7,8,10,7,5,5,10,1,4,3,4,2,3,1,11,3,13,8
02:00,9,6,9,6,4,4,4,6,1,7,1,1,3,4,3,1,3,1,3,0
03:00,4,4,2,6,23,2,0,1,1,1,6,2,2,4,0,0,0,0,4,0
04:00,11,6,7,5,16,4,1,1,0,0,1,1,1,1,0,0,0,1,1,1
05:00,7,7,8,14,17,6,2,0,1,0,0,3,0,3,2,12,1,1,0,0
06:00,19,24,28,26,22,7,1,0,0,3,0,3,0,0,6,60,35,7,3,39
07:00,29,36,40,33,39,7,8,2,3,1,1,4,8,10,32,41,38,15,42,12
08:00,84,43,58,30,70,42,10,8,5,10,13,13,39,43,110,89,19,18,22,14
09:00,120,45,76,30,67,61,38,17,18,24,33,27,50,46,25,39,65,45,75,29
10:00,132,65,44,25,76,112,65,30,40,56,34,40,66,68,44,63,95,41,77,51
11:00,136,70,69,41,73,120,67,53,35,53,37,29,60,60,94,138,41,56,36,39
12:00,160,53,74,40,79,97,66,30,32,28,30,33,32,76,17,31,27,26,23,46
13:00,209,83,75,42,71,87,70,50,36,32,46,52,40,34,95,30,26,30,26,35
14:00,164,104,91,44,116,113,99,77,38,42,44,27,40,35,136,34,40,32,25,36
15:00,162,70,96,61,116,159,58,45,60,29,48,36,52,39,75,46,38,24,28,40
16:00,153,76,68,35,113,121,56,50,32,44,39,58,41,43,55,21,13,35,42,32
17:00,101,64,64,45,86,82,35,39,37,39,44,27,47,37,36,25,81,43,15,28
18:00,79,70,79,46,72,46,75,25,92,62,40,20,26,11,69,59,6,34,16,21
19:00,84,57,43,35,52,56,17,19,11,11,5,10,14,19,62,42,12,10,11,16
20:00,85,48,54,27,62,49,29,10,9,18,3,16,14,14,33,36,8,32,9,13
21:00,86,36,59,32,53,34,19,15,19,18,20,19,17,11,19,17,11,25,17,25
22:00,93,104,61,24,50,32,16,14,11,9,20,16,14,9,17,21,12,13,19,19
23:00,67,104,77,46,36,19,17,20,11,11,8,23,12,7,4,11,14,32,30,28
