Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,12,33,40,26,39,54,48,25,22,17,45,50,36,53,38
01:00,0,0,0,0,0,5,17,12,23,20,19,9,10,10,18,21,61,20,35,22
02:00,0,0,0,0,0,4,11,4,14,4,3,2,11,5,7,44,57,15,30,11
03:00,0,0,0,0,0,0,3,0,4,3,3,2,0,2,1,65,76,25,12,15
04:00,0,0,0,0,0,2,19,0,5,4,3,5,4,3,5,91,26,28,16,7
05:00,0,0,0,0,0,2,20,11,8,6,11,3,9,8,21,33,26,27,21,10
06:00,0,0,0,0,0,14,44,58,23,47,43,35,56,29,52,41,56,29,33,32
07:00,0,0,0,0,0,11,89,142,111,124,94,83,127,90,120,94,148,102,101,69
08:00,0,0,0,0,0,33,156,247,281,213,313,282,226,149,262,260,240,176,137,152
09:00,0,0,0,0,0,21,264,476,450,401,501,401,358,295,392,347,334,254,242,239
10:00,0,0,0,0,0,20,361,646,652,570,597,510,458,365,448,399,379,258,280,225
11:00,0,0,0,0,0,27,374,623,631,570,612,564,528,386,489,465,380,239,248,225
12:00,0,0,0,0,0,25,318,522,471,486,588,464,482,321,350,318,335,230,209,189
13:00,0,0,0,0,0,81,345,612,545,533,622,531,489,370,428,392,373,252,218,223
14:00,0,0,0,0,0,53,402,715,690,570,650,710,539,417,456,473,381,281,270,296
15:00,0,0,0,0,0,55,465,763,684,661,726,700,622,374,480,442,409,279,257,253
16:00,0,0,0,0,0,53,533,759,702,642,734,676,624,382,414,469,399,297,207,219
17:00,0,0,0,0,0,53,371,629,547,554,607,557,456,316,347,364,312,227,135,176
18:00,0,0,0,0,0,18,164,261,212,268,245,179,201,131,187,179,161,107,84,90
19:00,0,0,0,0,0,22,42,132,81,111,108,136,117,89,114,124,99,81,85,78
20:00,0,0,0,0,0,18,30,95,86,97,128,152,101,94,107,92,131,102,70,53
21:00,0,0,0,0,0,21,61,120,114,115,163,167,118,54,82,134,115,109,78,51
22:00,0,0,0,0,0,19,80,131,105,138,127,171,95,54,86,92,91,62,69,66
23:00,0,0,0,0,0,18,66,86,80,121,80,106,61,39,38,69,38,57,60,46
