Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,13,60,24,47,38,67,23,31,30,17,40,26,27,21,17,14
01:00,0,0,0,0,13,32,31,30,26,46,14,18,25,15,21,17,24,13,8,11
02:00,0,0,0,0,21,14,60,47,18,56,11,26,25,6,24,8,3,5,2,2
03:00,0,0,0,0,24,16,53,47,7,23,11,8,15,7,6,9,3,1,0,0
04:00,0,0,0,0,11,3,26,36,7,17,8,10,13,1,4,6,2,3,8,0
05:00,0,0,0,0,5,5,11,26,5,13,2,7,5,3,5,14,5,3,8,0
06:00,0,0,0,0,14,22,20,22,9,21,6,13,29,10,16,17,4,8,21,1
07:00,0,0,0,0,14,72,76,41,30,39,20,27,44,18,30,38,29,23,15,8
08:00,0,0,0,0,17,88,78,45,71,80,58,83,99,73,84,73,57,57,43,31
09:00,0,0,0,0,24,60,56,85,80,81,67,84,111,116,98,57,56,87,48,50
10:00,0,0,0,0,57,110,63,118,108,111,79,82,142,100,113,100,81,76,50,47
11:00,0,0,0,0,67,137,80,114,121,133,94,86,131,102,131,94,94,107,67,56
12:00,0,0,0,0,63,130,107,144,127,132,65,85,145,98,104,90,71,63,76,57
13:00,0,0,0,0,101,142,87,119,113,137,84,106,156,110,132,106,122,93,109,73
14:00,0,0,0,0,109,135,91,120,109,189,85,106,140,110,148,102,106,96,90,79
15:00,0,0,0,0,97,121,58,120,134,159,88,92,162,133,144,109,111,108,90,66
16:00,0,0,0,0,91,76,57,109,162,192,72,121,143,132,140,106,109,121,62,120
17:00,0,0,0,0,48,65,72,129,103,131,68,97,110,112,114,120,93,83,72,73
18:00,0,0,0,0,30,48,43,107,81,108,59,72,102,92,71,93,76,67,94,85
19:00,0,0,0,0,9,36,54,76,65,124,57,72,69,41,63,78,59,80,76,37
20:00,0,0,0,0,37,47,78,110,79,122,91,72,88,60,68,92,69,81,48,63
21:00,0,0,0,0,52,101,82,138,111,148,88,97,85,82,114,89,47,66,37,24
22:00,0,0,0,0,70,51,52,107,82,129,86,92,66,44,103,80,44,53,40,26
23:00,0,0,0,0,40,32,29,72,47,112,28,43,44,25,46,39,43,27,26,20
