Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,16,33,27,16,31,21,75,56,94,115,38,49,57,55,54,99,89,39,68,62
01:00,16,9,11,4,25,11,48,27,42,59,20,16,24,17,34,60,74,54,44,42
02:00,19,10,6,8,5,14,10,19,18,22,4,9,7,5,19,48,60,33,46,44
03:00,8,1,1,6,1,3,9,10,9,22,0,9,3,9,7,42,48,52,56,62
04:00,8,7,0,8,5,3,6,7,4,14,11,5,9,15,8,56,59,72,67,59
05:00,20,18,0,8,2,4,8,7,4,16,13,9,14,7,44,54,53,40,47,55
06:00,6,42,14,16,6,16,14,16,16,25,35,21,17,27,98,89,29,29,26,49
07:00,43,52,42,19,34,24,29,66,81,96,50,65,71,43,185,82,30,43,59,58
08:00,68,90,42,80,73,52,94,98,112,130,76,85,92,107,177,151,46,75,99,80
09:00,121,149,91,68,87,75,124,165,184,218,201,259,268,348,345,228,145,120,156,105
10:00,190,172,124,88,113,87,154,255,320,398,336,300,352,410,459,287,144,164,183,166
11:00,162,166,150,123,140,111,282,412,417,434,367,338,431,341,463,232,135,166,205,177
12:00,181,199,127,94,101,79,180,240,220,268,239,343,364,218,384,212,135,168,207,205
13:00,265,181,139,123,165,158,309,357,350,312,298,374,364,309,355,355,171,220,208,179
14:00,254,253,158,145,152,148,355,405,349,367,325,367,399,313,371,353,194,282,336,276
15:00,292,292,194,142,229,189,388,382,291,370,271,405,347,291,430,409,297,256,298,282
16:00,196,236,159,135,236,174,341,397,336,415,309,379,336,288,403,309,231,296,309,259
17:00,151,175,142,146,162,137,248,309,268,386,265,313,296,260,333,255,232,239,244,223
18:00,108,141,94,90,114,68,203,175,157,207,114,165,174,183,209,144,162,173,176,188
19:00,113,131,74,90,89,95,242,149,119,165,101,127,139,98,150,177,156,110,153,148
20:00,177,134,86,110,99,91,195,191,198,181,135,152,145,133,138,159,171,135,188,166
21:00,173,128,91,126,121,101,250,235,209,263,175,257,271,183,122,192,183,157,160,135
22:00,89,96,76,100,98,83,218,225,226,284,183,200,211,159,147,192,139,153,140,132
23:00,27,50,49,50,62,48,137,120,133,222,89,143,124,129,75,171,126,98,104,102
